stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,zone_id
ST,Rama 2 Soi 100,13.6150679,100.3819666,ST,,
ST,Wat Thep Thongchai,13.6048446,100.3728578,ST,,
ST,Opposite Wat Thep Thongchai,13.6052147,100.3722349,ST,,
ST,Wat Phan Thai Norasing,13.5965059,100.3646510,ST,,
ST,Opposite Wat Phan Thai Norasing,13.5973219,100.3644111,ST,,
ST,Amornchai 5 Village,13.5954957,100.3636643,ST,,
ST,Dusita Village,13.5921841,100.3577003,ST,,
ST,Opposite Asia Compact,13.5921651,100.3556184,ST,,
ST,Asia Compact,13.5928703,100.3552928,ST,,
ST,Soi Kanda Park Rama Km.18 Village,13.5922900,100.3526081,ST,,
ST,Opposite Wat Rat Rangsang(Rama 2 side),13.5902678,100.3319907,ST,,
ST,Wat Rat Rangsang(Rama 2 side),13.5908472, 100.3315683,ST,,
ST,Mahachai Muangmai,13.5883259,100.3268173,ST,,
ST,Opposite Mahachai Muangmai,13.5891070,100.3269377,ST,,

ST,Lumphini Park(Rama IV side),13.7279766,100.5408752,ST,,
ST,Rrim Udom Suksa School,13.7405426,100.5300542,ST,,
ST,MBK Center,13.7443552,100.5303629,ST,,
ST,Chulalongkorn University(Two Kings Monument),13.7381985,100.529702,ST,,
ST,Chulalongkorn University(Faculty of Law),13.7361738,100.5291586,ST,,
ST,Osotsala,13.7435144,100.5304872,ST,,
ST,Chulalongkorn University(Faculty of Veterinary Science),13.7417262,100.5350965,ST,,
ST,Patumwan Demostration School,13.7392848,100.534724,ST,,
ST,Chulalongkorn University(Faculty of Political Science),13.7337063,100.533885,ST,,
ST,Chaloem Phao Junction,13.7446968,100.5355829,ST,,
ST,Victory Monument(Prahon Yothin side),13.7657563,100.5380731,ST,,
ST,Victory Monument(Phaya Thai side),13.7641638,100.5384722,ST,,
ST,Victory Monument(Din Daeng side),13.7653062,100.5391867,ST,,
ST,Ratchadamri Junction,13.7339384,100.5381907,ST,,
ST,Chulalongkorn Hospital(Ratchadamri side),13.7316867,100.5373248,ST,,
ST,Lumphini Park(Ratchadamri side),13.7329546,100.5381451,ST,,
ST,Ratchadamri Station (Exit 1),13.7395572,100.5393405,ST,,
ST,Opposite Chulalongkorn Hospital(Ratchadamri side),13.7315036,100.5375458,ST,,
ST,Chulalongkorn Hospital (Rama 4 side),13.7305216,100.5347562,ST,,
ST,Siam Square,13.7456566,100.5334091,ST,,
ST,Soi Lat Phrao 67/1,13.8001128,100.5844323,ST,,
ST,Opposite Wat Samian Nari(Vibhavadi side),13.8419794,100.5589013,ST,,
ST,Department of Army Science,13.8479107,100.5807413,ST,,
ST,Maruay Hotel,13.8458377,100.5793842,ST,,
ST,Modernform Tower,13.7291163,100.6416601,ST,,
ST,Royal Forest Department,13.848181,100.580435,ST,,
ST,Soi Srinakarin 3,13.7316413,100.6414699,ST,,
ST,Thung Song Hong Police Station,13.8674897,100.5718478,ST,,
ST,Bang Lamphu,13.7608955,100.4994148,ST,,
ST,MRT Lat Phrao Station (Exit 3),13.807109,100.5721001,ST,,
ST,The Trust Residence Pinklao,13.7857529,100.4700409,ST,,
ST,Central Pinklao,13.7788999,100.4764753,ST,,
ST,Soi Satsana,13.7767759,100.5318811,ST,,
ST,Opposite Children Hospital,13.7663587,100.5352563,ST,,
ST,Opposite The Mall Bangkhae,13.7107115,100.4096173,ST,,
ST,Soi Pridi Banomyong 28,13.7268261,100.5959929,ST,,
ST,Surao Sam In,13.728173,100.596080,ST,,
ST,Opposite Surao Sam In,13.727386,100.595892,ST,,
ST,Bang Khae District Office,13.6966641,100.4077582,ST,,
ST,Soi Nong Yai,13.6885338,100.4076086,ST,,
ST,Chatuchak Park(Stop 2),13.8037679,100.5541188,ST,,
ST,Saphan Phut Bus Terminal,13.7401553,100.4978467,ST,,
ST,Siam Center,13.7458988,100.5330435,ST,,
ST,Queen Saovabha Memorial Institute,13.7316382,100.5320991,ST,,
ST,Ramathibodi Hospital,13.7669243,100.5276479,ST,,
ST,Anantara Sathon Hotel,13.7170001,100.5325719,ST,,
ST,Opposite Wat Khaek,13.7247956,100.5234671,ST,,
ST,Opposite Bangbon Ville Village,13.6647852,100.4060063,ST,,
ST,Soi Phetkasem 39,13.7124113,100.4301849,ST,,
ST,Wat Rang Bua,13.7134725,100.4397209,ST,,
ST,Kan Ari Sport Center,13.7144076,100.4426566,ST,,
ST,Opposite Wat Chan Pradit Tharam,13.7151098,100.4447623,ST,,
ST,Opposite Khun Dan Chao Phor Suea,13.7161834,100.4480532,ST,,
ST,Opposite Soi Phetkasem 42,13.7168635,100.4501346,ST,,
ST,Soi Phetkasem 27/1,13.7176478,100.4524547,ST,,
ST,Opposite Siam University,13.7186242,100.4543923,ST,,
ST,MRT-BTS Bangwa Station (Inbound),13.7196063,100.4555163,ST,,
ST,Siam University,13.7186565,100.4538264,ST,,
ST,Soi Phetkasem 38,13.7178499,100.4521352,ST,,
ST,Soi Phetkasem 42,13.7171499,100.4499549,ST,,
ST,Khun Dan Chao Phor Suea,13.7162705,100.4472896,ST,,
ST,Soi Wat Chan Pradittharam,13.7153954,100.4446939,ST,,
ST,Big C Ratchadamri,13.7470321,100.5407658,ST,,
ST,Si Lasalle Intersection (Inbound),13.6570063,100.6423884,ST,,
ST,Soi Lat Phrao 34,13.8039299,100.5772993,ST,,
ST,Soi Lat Phrao 25,13.8041402,100.5773298,ST,,
ST,Opposite Kan Ari Sport Center,13.7145727,100.4421799,ST,,
ST,Opposite Wat Rang Bua,13.7134588,100.4387924,ST,,
ST,Opposite Seacon Bangkae,13.7129821,100.4339161,ST,,
ST,Seacon Bangkae,13.712677,100.434268,ST,
ST,Phasi Charoen District Office,13.7130996,100.4358239,ST,,
ST,Opposite Phasi Charoen District Office,13.712820,100.435960,ST,,
ST,Pasanusornbangkae School,13.7116705,100.4172049,ST,,
ST,Bangkok City Tower,13.720583,100.531197,ST,,
ST,Soi Wat Makok (Borom side),13.7805134,100.4309691,ST,,
ST,Nantawan Pinklao-Ratchaphruek Village,13.7798371,100.4376217,ST,,
ST,La Villa Ari,13.7799697,100.5448225,ST,,
ST,Opposite Palladium Pratunam,13.7496752,100.5424351,ST,,
ST,Central ChidLom,13.743836,100.545275,ST,,
ST,Big C Kanlapaphruek,13.6893703,100.4317027,ST,,
ST,BTS Udomsuk Station (Exit 5),13.6800929,100.6097014,ST,,
ST,BTS Ratchathewi Station (Exit 2),13.7513943,100.5316148,ST,,
ST,After Nang Loeng Junction,13.7600219,100.5176397,ST,,
ST,Office of the Civil Service Commission,13.763951,100.5128862,ST,,
ST,Suan Misakawan Intersection,13.765463,100.5111123,ST,,
ST,Opposite Ministry of Education,13.7671758,100.50919,ST,,
ST,Wat Phlapphla Chai,13.7460216,100.5132754,ST,,
ST,Klang Hospital (Luang side),13.7472454,100.5092444,ST,,
ST,Phan Fa Pier,13.7563015,100.506975,ST,,
ST,Soi Charan Sanitwong 49,13.774719,100.482872,ST,,
ST,Soi Charan Sanitwong 40,13.7751566,100.4835433,ST,,
ST,Major Cineplex Pinklao,13.7780114,100.4777453,ST,,
ST,Suan Pakkad Palace,13.7572095,100.5366541,ST,,
ST,Maliwan Palace,13.7620149,100.4933394,ST,,
ST,Phra Athit Pier,13.7628333,100.4943947,ST,,
ST,After Democracy Monument,13.756808,100.500132,ST,,
ST,Before Democracy Monument,13.7572674,100.5002565,ST,,
ST,Kong Slak,13.7577995,100.4976122,ST,,
ST,Khao San Road,13.7607004,100.4967343,ST,,
ST,Opposite Maliwan Palace,13.7621401,100.4936779,ST,,
ST,After Bang Lamphu Intersection,13.7626762,100.4973856,ST,,
ST,Before Bang Lamphu Intersection,13.7627001,100.4975824,ST,,
ST,Opposite Phra Athit Pier,13.7631941,100.4950226,ST,,
ST,Soi Ekkamai 14,13.7317969,100.5868612,ST,,
ST,Opposite Hua Chiew Hospital,13.7499503,100.5169059,ST,,
ST,Opposite Soi Anantanak,13.7519446,100.5171174,ST,,
ST,Ruam Yang Market,13.7688272,100.5030412,ST,,
ST,After Thewet Intersection,13.7687207,100.5046114,ST,,
ST,Talad Mai Don Mueng Market,13.9142918,100.5980818,ST,,
ST,Kasetsart University(Phahon Yothin Gate),13.8415917,100.5765011,ST,,
ST,BTS Ratchadamri Station(Exit 2),13.7394394,100.5395857,ST,,
ST,Ratchaworadit Pier,13.7500224,100.4895712,ST,,
ST,Tha Phra Chan,13.7518624,100.4892937,ST,,
ST,Kasetsart University(Vibhavadi Gate),13.8535637,100.5650381,ST,,
ST,KMITL (Faculty of Science),13.7289278,100.7782278,ST,,
ST,Embassy of China,13.7617168,100.5666161,ST,,
ST,Fortune Town,13.758793,100.565362,ST,,
ST,Naval Supply Department,13.7480102,100.4843681,ST,,
ST,Soi Ekkachai 59,13.6812267,100.4389079,ST,,
ST,BMA City Hall,13.7552416,100.501551,ST,,
ST,Wat Suthat,13.7501919,100.5003441,ST,,
ST,Satriwithaya School,13.7580943,100.5021169,ST,,
