shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
SUKHUMVIT_MAIN,13.744653, 100.540162,425
SUKHUMVIT_MAIN,13.744588, 100.540398,426
SUKHUMVIT_MAIN,13.744541, 100.540562,427
SUKHUMVIT_MAIN,13.744489, 100.540816,428
SUKHUMVIT_MAIN,13.744408, 100.541264,429
SUKHUMVIT_MAIN,13.744262, 100.542131,430
SUKHUMVIT_MAIN,13.744147, 100.542775,431
SUKHUMVIT_MAIN,13.743968, 100.543794,432
SUKHUMVIT_MAIN,13.743741, 100.545106,433
SUKHUMVIT_MAIN,13.743600, 100.545921,434
SUKHUMVIT_MAIN,13.743480, 100.546626,435
SUKHUMVIT_MAIN,13.743347, 100.547372,436
SUKHUMVIT_MAIN,13.743191, 100.548255,437
SUKHUMVIT_MAIN,13.743079, 100.548911,438
SUKHUMVIT_MAIN,13.743050, 100.549086,439
SUKHUMVIT_MAIN,13.742949, 100.549671,440
SUKHUMVIT_MAIN,13.742850, 100.550196,441
SUKHUMVIT_MAIN,13.742774, 100.550563,442
SUKHUMVIT_MAIN,13.742694, 100.550915,443
SUKHUMVIT_MAIN,13.742587, 100.551470,444
SUKHUMVIT_MAIN,13.742532, 100.551776,445
SUKHUMVIT_MAIN,13.742462, 100.552050,446
SUKHUMVIT_MAIN,13.742308, 100.552503,447
SUKHUMVIT_MAIN,13.742146, 100.552919,448
SUKHUMVIT_MAIN,13.741917, 100.553399,449
SUKHUMVIT_MAIN,13.741698, 100.553782,450
SUKHUMVIT_MAIN,13.741445, 100.554144,451
SUKHUMVIT_MAIN,13.741026, 100.554732,452
SUKHUMVIT_MAIN,13.740648, 100.555271,453
SUKHUMVIT_MAIN,13.740554, 100.555402,454
SUKHUMVIT_MAIN,13.740505, 100.555475,455
SUKHUMVIT_MAIN,13.739876, 100.556361,456
SUKHUMVIT_MAIN,13.739300, 100.557179,457
SUKHUMVIT_MAIN,13.738310, 100.558571,458
SUKHUMVIT_MAIN,13.737476, 100.559748,459
SUKHUMVIT_MAIN,13.736426, 100.561233,460
SUKHUMVIT_MAIN,13.735983, 100.561857,461
SUKHUMVIT_MAIN,13.735405, 100.562675,462
SUKHUMVIT_MAIN,13.734970, 100.563292,463
SUKHUMVIT_MAIN,13.734490, 100.563984,464
SUKHUMVIT_MAIN,13.733959, 100.564735,465
SUKHUMVIT_MAIN,13.733266, 100.565724,466
SUKHUMVIT_MAIN,13.732726, 100.566481,467
SUKHUMVIT_MAIN,13.732144, 100.567301,468
SUKHUMVIT_MAIN,13.730950, 100.568975,469
SUKHUMVIT_MAIN,13.730454, 100.569683,470
SUKHUMVIT_MAIN,13.730381, 100.569794,471
SUKHUMVIT_MAIN,13.724443, 100.578218,472
SUKHUMVIT_MAIN,13.724253, 100.578492,473
SUKHUMVIT_MAIN,13.723951, 100.578919,474
SUKHUMVIT_MAIN,13.723729, 100.579238,475
SUKHUMVIT_MAIN,13.722854, 100.580476,476
SUKHUMVIT_MAIN,13.722044, 100.581611,477
SUKHUMVIT_MAIN,13.719568, 100.585071,478
SUKHUMVIT_MAIN,13.719495, 100.585168,479
SUKHUMVIT_MAIN,13.719055, 100.585779,480
SUKHUMVIT_MAIN,13.718776, 100.586174,481
SUKHUMVIT_MAIN,13.718109, 100.587112,482
SUKHUMVIT_MAIN,13.717314, 100.588233,483
SUKHUMVIT_MAIN,13.716725, 100.589068,484
SUKHUMVIT_MAIN,13.715180, 100.591222,485
SUKHUMVIT_MAIN,13.715148, 100.591265,486
SUKHUMVIT_MAIN,13.714229, 100.592573,487
SUKHUMVIT_MAIN,13.712267, 100.595320,488
SUKHUMVIT_MAIN,13.711125, 100.596908,489
SUKHUMVIT_MAIN,13.710354, 100.597997,490
SUKHUMVIT_MAIN,13.710036, 100.598443,491
SUKHUMVIT_MAIN,13.709882, 100.598622,492
SUKHUMVIT_MAIN,13.709676, 100.598837,493
SUKHUMVIT_MAIN,13.709426, 100.599054,494
